<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2S,20121004,2.5,2.5,2.5,2.5,5000
2S,20121009,2.48,2.48,2.48,2.48,10100
2S,20121011,2.48,2.48,2.48,2.48,25000
2S,20121017,2.44,2.5,2.44,2.5,23000
2S,20121018,2.48,2.5,2.48,2.48,39000
2S,20121022,2.48,2.48,2.48,2.48,43000
2S,20121029,2.48,2.48,2.48,2.48,11200
2S,20121102,2.48,2.48,2.48,2.48,2000
2S,20121106,2.48,2.48,2.48,2.48,3000
2S,20121114,2.48,2.48,2.48,2.48,27000
2S,20121116,2.4,2.5,2.4,2.5,2500
2S,20121119,2.48,2.48,2.48,2.48,5000
2S,20121120,2.48,2.48,2.48,2.48,5000
2S,20121121,2.48,2.48,2.48,2.48,10000
2S,20121122,2.48,2.48,2.48,2.48,101500
2S,20121123,2.48,2.48,2.48,2.48,50000
2S,20121126,2.48,2.48,2.48,2.48,47000
2S,20121130,2.32,2.46,2.32,2.46,400
2S,20121214,2.46,2.54,2.36,2.36,56300
2S,20121217,2.46,2.54,2.4,2.4,173500
2S,20121218,2.54,2.54,2.48,2.48,6500
2S,20121219,2.42,2.42,2.42,2.42,500
2S,20121220,2.48,2.52,2.48,2.52,1000
2S,20121221,2.42,2.42,2.42,2.42,1000
2S,20121224,2.42,2.48,2.42,2.48,26000
2S,20121225,2.48,2.48,2.48,2.48,100
2S,20121226,2.5,2.52,2.5,2.52,12100
2S,20121227,2.52,2.52,2.42,2.42,14000
2S,20121228,2.42,2.42,2.42,2.42,10100
2S,20130102,2.42,2.42,2.38,2.38,25900
2S,20130103,2.4,2.4,2.38,2.38,20100
2S,20130104,2.4,2.44,2.4,2.44,50100
2S,20130107,2.44,2.44,2.44,2.44,3000
2S,20130108,2.44,2.44,2.44,2.44,31600
2S,20130109,2.44,2.44,2.44,2.44,5000
2S,20130111,2.44,2.44,2.44,2.44,10000
2S,20130117,2.5,2.6,2.48,2.48,158600
2S,20130118,2.48,2.48,2.48,2.48,35000
2S,20130121,2.6,2.6,2.52,2.56,76900
2S,20130122,2.54,2.54,2.54,2.54,2500
2S,20130123,2.56,2.6,2.52,2.6,165800
2S,20130124,2.58,2.68,2.54,2.68,206200
2S,20130125,2.7,2.76,2.64,2.64,434600
2S,20130128,2.6,2.66,2.6,2.64,24700
2S,20130129,2.6,2.6,2.6,2.6,9900
2S,20130130,2.56,2.6,2.54,2.6,41000
2S,20130131,2.5,2.52,2.5,2.52,30000
2S,20130201,2.42,2.46,2.42,2.44,9200
2S,20130204,2.44,2.44,2.44,2.44,5900
2S,20130205,2.44,2.5,2.44,2.5,12000
2S,20130206,2.52,2.52,2.52,2.52,28000
2S,20130207,2.52,2.52,2.48,2.48,62500
2S,20130208,2.48,2.48,2.48,2.48,15000
2S,20130211,2.56,2.56,2.56,2.56,100
2S,20130212,2.56,2.56,2.48,2.48,60100
2S,20130213,2.5,2.5,2.5,2.5,4000
2S,20130214,2.5,2.5,2.5,2.5,13500
2S,20130215,2.46,2.46,2.44,2.46,35700
2S,20130218,2.48,2.5,2.46,2.5,271000
2S,20130219,2.54,2.54,2.46,2.48,24400
2S,20130220,2.52,2.52,2.48,2.48,6000
2S,20130221,2.48,2.48,2.48,2.48,21000
2S,20130226,2.46,2.46,2.44,2.44,38000
2S,20130228,2.44,2.46,2.44,2.46,18000
2S,20130301,2.46,2.48,2.46,2.48,20000
2S,20130304,2.48,2.52,2.48,2.52,44100
2S,20130306,2.56,2.74,2.56,2.72,1244200
2S,20130307,2.74,2.74,2.64,2.64,145700
2S,20130308,2.68,2.68,2.64,2.68,461100
2S,20130311,2.7,2.7,2.64,2.66,153600
2S,20130312,2.66,2.68,2.62,2.62,41900
2S,20130313,2.62,2.64,2.6,2.6,36900
2S,20130314,2.58,2.62,2.58,2.6,524400
2S,20130315,2.6,2.66,2.6,2.66,813400
2S,20130318,2.62,2.64,2.58,2.6,122900
2S,20130319,2.62,2.68,2.56,2.56,83500
2S,20130320,2.56,2.56,2.54,2.56,20300
2S,20130321,2.56,2.62,2.56,2.62,13300
2S,20130322,2.6,2.64,2.4,2.52,69300
2S,20130325,2.6,2.6,2.54,2.54,39500
2S,20130326,2.6,2.6,2.5,2.58,38000
2S,20130327,2.58,2.62,2.56,2.62,6300
2S,20130328,2.6,2.64,2.58,2.62,100100
2S,20130329,2.64,2.68,2.62,2.68,188900
2S,20130401,2.68,2.74,2.68,2.74,220000
2S,20130402,2.78,2.78,2.72,2.76,144800
2S,20130403,2.76,2.76,2.64,2.68,74800
2S,20130404,2.56,2.7,2.56,2.7,37900
2S,20130405,2.64,2.68,2.64,2.68,7000
2S,20130409,2.68,2.68,2.68,2.68,6100
2S,20130410,2.68,2.72,2.64,2.68,16200
2S,20130411,2.68,2.72,2.68,2.72,86700
2S,20130412,2.74,2.8,2.68,2.74,382400
2S,20130417,2.72,2.94,2.72,2.76,661000
2S,20130418,2.8,2.86,2.76,2.82,17700
2S,20130419,2.86,2.88,2.8,2.8,142900
